drink_name,drink_price,restaurant_genre,restaurant_name,restaurant_address,restaurant_tel,restaurant_latitude,restaurant_longitude,restaurant_url
スプラッシュマウンテン禁止♪,-,焼肉・ホルモン・居酒屋,０秒レモンサワー 仙台ホルモン焼肉酒場ときわ亭 大阪 梅田 阪急東通り店 居酒屋,大阪府大阪市北区堂山町２－１１MKビートルビル１Ｆ,050-5572-9562,,,https://www.hotpepper.jp/strJ001268796/
サッポロ黒ラベル（中ジョッキ）,528,焼肉・ホルモン・居酒屋,０秒レモンサワー 仙台ホルモン焼肉酒場ときわ亭 大阪 梅田 阪急東通り店 居酒屋,大阪府大阪市北区堂山町２－１１MKビートルビル１Ｆ,050-5572-9562,,,https://www.hotpepper.jp/strJ001268796/
角ハイボールシングル,418,焼肉・ホルモン・居酒屋,０秒レモンサワー 仙台ホルモン焼肉酒場ときわ亭 大阪 梅田 阪急東通り店 居酒屋,大阪府大阪市北区堂山町２－１１MKビートルビル１Ｆ,050-5572-9562,,,https://www.hotpepper.jp/strJ001268796/
ジンジャーハイボール,528,焼肉・ホルモン・居酒屋,０秒レモンサワー 仙台ホルモン焼肉酒場ときわ亭 大阪 梅田 阪急東通り店 居酒屋,大阪府大阪市北区堂山町２－１１MKビートルビル１Ｆ,050-5572-9562,,,https://www.hotpepper.jp/strJ001268796/
コークハイボール,528,焼肉・ホルモン・居酒屋,０秒レモンサワー 仙台ホルモン焼肉酒場ときわ亭 大阪 梅田 阪急東通り店 居酒屋,大阪府大阪市北区堂山町２－１１MKビートルビル１Ｆ,050-5572-9562,,,https://www.hotpepper.jp/strJ001268796/
角瓶,418,焼肉・ホルモン・居酒屋,０秒レモンサワー 仙台ホルモン焼肉酒場ときわ亭 大阪 梅田 阪急東通り店 居酒屋,大阪府大阪市北区堂山町２－１１MKビートルビル１Ｆ,050-5572-9562,,,https://www.hotpepper.jp/strJ001268796/
氷彩サワー,418,焼肉・ホルモン・居酒屋,０秒レモンサワー 仙台ホルモン焼肉酒場ときわ亭 大阪 梅田 阪急東通り店 居酒屋,大阪府大阪市北区堂山町２－１１MKビートルビル１Ｆ,050-5572-9562,,,https://www.hotpepper.jp/strJ001268796/
ウーロンハイ,418,焼肉・ホルモン・居酒屋,０秒レモンサワー 仙台ホルモン焼肉酒場ときわ亭 大阪 梅田 阪急東通り店 居酒屋,大阪府大阪市北区堂山町２－１１MKビートルビル１Ｆ,050-5572-9562,,,https://www.hotpepper.jp/strJ001268796/
緑茶ハイ,418,焼肉・ホルモン・居酒屋,０秒レモンサワー 仙台ホルモン焼肉酒場ときわ亭 大阪 梅田 阪急東通り店 居酒屋,大阪府大阪市北区堂山町２－１１MKビートルビル１Ｆ,050-5572-9562,,,https://www.hotpepper.jp/strJ001268796/
やかん チャミスル,880,焼肉・ホルモン・居酒屋,０秒レモンサワー 仙台ホルモン焼肉酒場ときわ亭 大阪 梅田 阪急東通り店 居酒屋,大阪府大阪市北区堂山町２－１１MKビートルビル１Ｆ,050-5572-9562,,,https://www.hotpepper.jp/strJ001268796/
