restaurant_name,restaurant_address,restaurant_latitude,restaurant_longitude,restaurant_tel,restaurant_url,drink_name,drink_price
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,八海山,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,黒龍,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,梵,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,真澄,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,楯野川,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,紀土,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,〆張鶴,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,伯楽星,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,風の森,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,一白水成,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,澤屋まつもと,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,写楽,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,くどき上手,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,賀茂鶴,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,醸し人九平次,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,知恵美人,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,たかちよ,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,文佳人,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,東洋美人,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,讃岐クラウディ,-
センバキッチン グリーンハウス 　梅田　ハービスプラザ店,大阪府大阪市北区梅田２丁目5番25号 ハービスプラザ B2,34.6984253,135.4926758,050-5348-8197,https://www.hotpepper.jp/strJ001201835/,【本日のクラフトビール】,-
高級寿司66種以上食べ放題×厳選日本酒50種以上飲み放題　うおぷく　梅田店,大阪府大阪市北区堂山町4-12 白馬車ビル３F,34.702542,135.5021224,050-5861-7108,https://www.hotpepper.jp/strJ003298352/,特選松竹梅　豪快　純米,要確認
高級寿司66種以上食べ放題×厳選日本酒50種以上飲み放題　うおぷく　梅田店,大阪府大阪市北区堂山町4-12 白馬車ビル３F,34.702542,135.5021224,050-5861-7108,https://www.hotpepper.jp/strJ003298352/,烏龍茶/緑茶/コーラ/ジンジャーエール/カルピス/オレンジジュース/アップルジュース,無料
ワイン時間無制限飲み放題×熟成肉 びすとろ こなれ 梅田茶屋町店,大阪府大阪市北区茶屋町2-28  Central 茶屋町 6F,34.7061216,135.4997474,050-5499-4404,https://www.hotpepper.jp/strJ001278787/,ジムビームハイボール,429 / メガ 715
ワイン時間無制限飲み放題×熟成肉 びすとろ こなれ 梅田茶屋町店,大阪府大阪市北区茶屋町2-28  Central 茶屋町 6F,34.7061216,135.4997474,050-5499-4404,https://www.hotpepper.jp/strJ001278787/,ジム 各種,484 / メガ 770
ワイン時間無制限飲み放題×熟成肉 びすとろ こなれ 梅田茶屋町店,大阪府大阪市北区茶屋町2-28  Central 茶屋町 6F,34.7061216,135.4997474,050-5499-4404,https://www.hotpepper.jp/strJ001278787/,角ハイボール,528 / メガ 825
ワイン時間無制限飲み放題×熟成肉 びすとろ こなれ 梅田茶屋町店,大阪府大阪市北区茶屋町2-28  Central 茶屋町 6F,34.7061216,135.4997474,050-5499-4404,https://www.hotpepper.jp/strJ001278787/,角 各種,528 / メガ 880
ヤキトリボーイシュウマイガール　梅田店,大阪府大阪市北区曽根崎２-9-9,34.7002522,135.5009268,050-5834-8883,https://www.hotpepper.jp/strJ001276980/,日本酒,-
酒場リベリー　episode2,大阪府大阪市北区堂山町16-4 パールレジャービル107,34.7039639,135.5030615,050-5259-9293,https://www.hotpepper.jp/strJ001249205/,地酒 各種500円～,別紙
口八町  ～くちはっちょう～ 梅田店,大阪府大阪市北区芝田１丁目３－１０,34.7061367,135.4974138,050-5877-8614,https://www.hotpepper.jp/strJ000999667/,角ハイボール,-
口八町  ～くちはっちょう～ 梅田店,大阪府大阪市北区芝田１丁目３－１０,34.7061367,135.4974138,050-5877-8614,https://www.hotpepper.jp/strJ000999667/,【角瓶】角ウイスキー,-
口八町  ～くちはっちょう～ 梅田店,大阪府大阪市北区芝田１丁目３－１０,34.7061367,135.4974138,050-5877-8614,https://www.hotpepper.jp/strJ000999667/,白鹿（辛口）,-
肉汁餃子製作所　食べ放題　居酒屋　餃子のかっちゃん　梅田茶屋町店,大阪府大阪市北区芝田１-5-14 シマサダビル,34.7062981,135.4975835,050-5831-6885,https://www.hotpepper.jp/strJ001282711/,ジムビームハイボール　メガサイズ,-
肉汁餃子製作所　食べ放題　居酒屋　餃子のかっちゃん　梅田茶屋町店,大阪府大阪市北区芝田１-5-14 シマサダビル,34.7062981,135.4975835,050-5831-6885,https://www.hotpepper.jp/strJ001282711/,赤玉パンチ,-
肉汁餃子製作所　食べ放題　居酒屋　餃子のかっちゃん　梅田茶屋町店,大阪府大阪市北区芝田１-5-14 シマサダビル,34.7062981,135.4975835,050-5831-6885,https://www.hotpepper.jp/strJ001282711/,赤玉パンチ　メガサイズ,-
肉汁餃子製作所　食べ放題　居酒屋　餃子のかっちゃん　梅田茶屋町店,大阪府大阪市北区芝田１-5-14 シマサダビル,34.7062981,135.4975835,050-5831-6885,https://www.hotpepper.jp/strJ001282711/,チャミスル各種,.
肉バル　食べ飲み放題　ミートマーケット 梅田店,大阪府大阪市北区太融寺町7-11　フジノビルディングノバ2F,34.7014921,135.5027853,050-5257-6178,https://www.hotpepper.jp/strJ001052197/,ゴールデン・ワインブリューテ ミュラートゥルガウ,＋500で飲み放題
肉バル　食べ飲み放題　ミートマーケット 梅田店,大阪府大阪市北区太融寺町7-11　フジノビルディングノバ2F,34.7014921,135.5027853,050-5257-6178,https://www.hotpepper.jp/strJ001052197/,ノッテージヒル リースリング,＋500で飲み放題
肉バル　食べ飲み放題　ミートマーケット 梅田店,大阪府大阪市北区太融寺町7-11　フジノビルディングノバ2F,34.7014921,135.5027853,050-5257-6178,https://www.hotpepper.jp/strJ001052197/,ラダテーニ カベルネ ソヴィニヨン,＋500で飲み放題
肉バル　食べ飲み放題　ミートマーケット 梅田店,大阪府大阪市北区太融寺町7-11　フジノビルディングノバ2F,34.7014921,135.5027853,050-5257-6178,https://www.hotpepper.jp/strJ001052197/,ローズマウント リースリング,＋500で飲み放題
肉バル　食べ飲み放題　ミートマーケット 梅田店,大阪府大阪市北区太融寺町7-11　フジノビルディングノバ2F,34.7014921,135.5027853,050-5257-6178,https://www.hotpepper.jp/strJ001052197/,ヒドゥンパール シャルドネ,＋500で飲み放題
肉バル　食べ飲み放題　ミートマーケット 梅田店,大阪府大阪市北区太融寺町7-11　フジノビルディングノバ2F,34.7014921,135.5027853,050-5257-6178,https://www.hotpepper.jp/strJ001052197/,ザ・スプリングス ソーヴィニヨンブラン,＋500で飲み放題
肉バル　食べ飲み放題　ミートマーケット 梅田店,大阪府大阪市北区太融寺町7-11　フジノビルディングノバ2F,34.7014921,135.5027853,050-5257-6178,https://www.hotpepper.jp/strJ001052197/,テイスデイル シャルドネ,＋500で飲み放題
肉バル　食べ飲み放題　ミートマーケット 梅田店,大阪府大阪市北区太融寺町7-11　フジノビルディングノバ2F,34.7014921,135.5027853,050-5257-6178,https://www.hotpepper.jp/strJ001052197/,リベルタス シュナンブラン,＋500で飲み放題
肉バル　食べ飲み放題　ミートマーケット 梅田店,大阪府大阪市北区太融寺町7-11　フジノビルディングノバ2F,34.7014921,135.5027853,050-5257-6178,https://www.hotpepper.jp/strJ001052197/,リベルタス シャルドネ,＋500で飲み放題
